imagePath,IOVC
targetImages\sun_aiyjrnbytpirechl.jpg,0.9703502592661384
targetImages\sun_bzfcixnmhtzpmwij.jpg,0.9637394591890325
targetImages\sun_aplqnvinpntdexdw.jpg,0.9208051752841723
targetImages\sun_byuhjpweygtwpwbj.jpg,0.9083176620442246
targetImages\sun_apytdxunawwxcvdw.jpg,0.9053058851332296
targetImages\sun_bzjdnotizomfsdad.jpg,0.9050282149420652
targetImages\sun_ailjxpgyepocjdos.jpg,0.8969688315547447
targetImages\sun_byziwbrwhhpxaydu.jpg,0.8697101769533205
targetImages\sun_amssqaxrfmufhwxv.jpg,0.8631318362475665
targetImages\sun_bwidvgzwofvfteaj.jpg,0.854640625282469
targetImages\sun_aywhxcvpafxkujrj.jpg,0.8357656626734639
targetImages\sun_bisnnysqxgpavrkh.jpg,0.8291856569427741
targetImages\sun_bgshkoltnrmilxns.jpg,0.8183804508893583
targetImages\sun_burokageiugamrul.jpg,0.7986419183437715
targetImages\sun_bukzvwbkvedjexbe.jpg,0.7959197198786938
targetImages\sun_bkxzmjorpemztasj.jpg,0.7822320474163424
targetImages\sun_aewtvpwulyxhqvuv.jpg,0.7640206193968258
targetImages\sun_bacfwopdcsewxkne.jpg,0.7601633240159172
targetImages\sun_ayuqdxlbdhbbgypd.jpg,0.7394513343904086
targetImages\sun_bpkiszwjhbnsrmtr.jpg,0.726251024100395
targetImages\sun_ahbwwdffoiigyxqx.jpg,0.726211584900267
targetImages\sun_arsolpsoaipmhdio.jpg,0.7212532203632449
targetImages\sun_aesdwymqhhiewhyo.jpg,0.7035159651282019
targetImages\sun_agoqtmhicqrakxqs.jpg,0.6969129990961498
targetImages\sun_bxxtkmyydusifqkv.jpg,0.6769856179258732
targetImages\sun_btjevcvrxjpeyoxz.jpg,0.668041197795487
targetImages\sun_cesisdcqpsijbubk.jpg,0.6208683242062896
targetImages\sun_buubpayscjcxyypt.jpg,0.6126527999479786
targetImages\sun_amkeeuvicewppjqo.jpg,0.5201849370226547
targetImages\sun_agenkchqfjxvsppn.jpg,0.35926553723055865
